Product,Merchant,Txns_FY25_Cr,GMV_FY25_Cr,Revenue_FY25_Cr,Txns_FY26_Cr,GMV_FY26_Cr,Revenue_FY26_Cr,Revenue_Variance_Cr
"Juspay Safe, PA, Hypercredit",Flipkart Internet Private Limited - GODEL,0.6558,2181.61,0.8197,4.2413,5767.98,2.0713,1.5270
"Juspay Payment Page, Juspay Express Checkout, Juspay Payouts",TATA PAYMENTS LIMITED,1.3464,2806.80,1.0069,1.9160,4246.32,1.4747,0.4646
Juspay Payment Page,mPokket Financial Services Private Limited,0.9198,1301.56,1.0012,1.4039,1721.05,1.1576,0.1562
Juspay Payment Page,ZEPTO MARKETPLACE PRIVATE LIMITED,3.7833,1389.67,0.6618,6.5713,2260.19,1.0411,0.5733
Juspay Payment Page,FASHNEAR TECHNOLOGIES PRIVATE LIMITED,3.7391,1094.89,0.6055,6.6443,1805.94,0.9794,0.6174
Juspay Express Checkout,INTERGLOBE AVIATION LIMITED,0.1424,1577.68,0.9500,0.1533,1881.99,0.8424,-0.1132
"Juspay Payment Page, Juspay Express Checkout, Juspay Payouts",SWIGGY LIMITED,2.2242,1146.76,0.5569,2.4438,1488.07,0.6490,0.1653
"Juspay Payment Page, Juspay Safe",Myntra Designs Pvt. Ltd,0.4083,885.40,0.4827,0.5860,1143.34,0.6365,0.3187
Juspay Express Checkout,Bigtree Entertainment Pvt Ltd,0.5667,503.19,0.2665,1.0186,914.64,0.4844,0.8174
Juspay Express Checkout,RELIANCE RETAIL LIMITED - AJIO,0.1741,431.40,0.3451,0.1615,594.26,0.4754,0.3775
